tipo,fecha,hora,recinto,nombre,lat,lon,descripcion,link,patrocinado,patrocinado_url
FÚTBOL,24/8/2025,21:00,Estadio Carlos Tartiere,Real Oviedo- Real Madrid CF,"43,3607800000000","-5,8702200000000",Jornada 2 - La Liga,https://www.crespacion.com,,
CONCIERTOS,24/8/2025,20:00,AUDITORIO PARQUE PINAR DEL REY,Lucrecia: Tributo a Celia Cruz en sus 100 Años,"40,4639028925619","-3,6552297136210",Concierto,https://dice.fm,,
CONCIERTOS,24/8/2025,20:00,WURLITZER,The Briefs,"40,4198497297943","-3,7024780928829",Indie,https://dice.fm,,
CONCIERTOS,24/8/2025,20:00,SIROCO,SYZYGYX (USA) + Azote Mental,"40,4271047202027","-3,7077208643914",Concierto,https://dice.fm,,
FÚTBOL,27/8/2025,19:45,Craven Cottage,Fulham-Bristol City,"51,4750071536084","-0,2211571801977",Carabao Cup 2nd Round,https://www.fulhamfc.com,,
FÚTBOL,27/8/2025,19:45,Hill Dickinson Stadium,Everton-Mansfield Town,"53,4251000000000","-3,0028000000000",Carabao Cup 2nd Round,https://www.evertonfc.com ,,
FÚTBOL,27/8/2025,19:45,Kassam Stadium,Oxford United-Brighton and Hove Albion,"51,7164000000000","-1,2070000000000",Carabao Cup 2nd Round,https://www.efl.com/competitions/carabao-cup,,
CONCIERTOS,27/8/2025,20:00,MON LIVE,Tropical Fuck Storm + Thee Johnny Casino Syndicat,"40,4359491687017","-3,7165521825082",Concierto,https://dice.fm,,
CONCIERTOS,28/8/2025,20:00,CLAMORES,Lovesick,"40,4312812770905","-3,7010113384483",Concierto,https://dice.fm,,
CONCIERTOS,28/8/2025,20:00,FUN HOUSE,Avengers + Varonas,"40,4315210350644","-3,7008364851402",Concierto,https://dice.fm,,
CONCIERTOS,28/8/2025,20:00,HALF MOON,The Milk Men + The Dirt Road Band,"51,4675757784669","-0,2199016110407",VENUE ENTRY 18+ AFTER 7PM / DAYTIME ENTRY U18s CONTACT VENUE,https://tickets.halfmoon.co.uk/events/2025-08-28-the-milk-men-and-the-dirt-road-band-half-moon-putney,,
CONCIERTOS,4/9/2025,20:00,EL SOL,The New Christs + Los Chicos,"40,4167000000000","-3,7036000000000",Concierto,https://dice.fm,,
CONCIERTOS,5/9/2025,20:00,COPÉRNICO,Son Rompe Pera,"40,4355811572583","-3,7136034056273",Concierto,https://dice.fm,,
CONCIERTOS,6/9/2025,20:00,WURLITZER,Meatbodies + Black Maracas,"40,4198497297943","-3,7024780928829",Concierto,https://dice.fm,,
CONCIERTOS,6/9/2025,20:00,VESTA,Meriendacena + Era Paraíso,"40,4231505517238","-3,6951555924383",Concierto,https://dice.fm,,
CONCIERTOS,8/9/2025,20:00,MARAVILLAS,Florist,"40,4258102311284","-3,7036087186617",Concierto,https://dice.fm,,
CONCIERTOS,9/9/2025,20:00,INDEPENDANCE,Jer The Damaja presents Do The Right Thing with The Pharcyde,"40,4098012423726","-3,6926161123739",Concierto,https://dice.fm,,
CONCIERTOS,10/9/2025,20:00,BOITE,The Morlocks + The Fuzzy For Her,"40,4184564988245","-3,7032630484204",,https://dice.fm,,
CONCIERTOS,10/9/2025,20:00,CLAMORES,Balthus,"40,4312812770905","-3,7010113384483",,FeverUp,,
